id,chinese,english,family,r_package,r_function,file,public_docs
18,相关性气泡热图,Correlation bubble heatmap,相关热图,"linkET / ComplexHeatmap","qcorrplot() + geom_couple(); Heatmap cell_fun circles + dendrogram",18_corr_bubble.png,https://github.com/Hy4m/linkET
19,三角气泡热图,Triangle bubble heatmap,相关热图,"ggplot2 / ggcorrplot","geom_tile grid + geom_point() lower triangle",19_triangle_bubble.png,https://www.r-bloggers.com/2024/02/correlation-heat-maps-with-ggplot2/
20,带类别标签的三维柱状图,3D bar chart with category labels,三维柱状,"ggplot2 / plot3D","geom_polygon() + geom_text()",20_3d_bar_labels.png,https://openbiox.github.io/Bizard/Hiplot/003-barplot-3d.html
21,三角方块热图,Triangle square heatmap,相关热图,"ggplot2 / ggcorrplot","geom_tile() lower triangle sequential teal",21_triangle_square.png,https://cran.r-project.org/web/packages/ggcorrplot/vignettes/publication-ready-correlation-plots.html
22,不等宽柱状图,Unequal-width bar chart,柱状,"ggplot2","geom_rect()",22_unequal_width_bar.png,https://ggplot2.tidyverse.org/reference/geom_tile.html
23,密度散点图,Density scatter plot,散点,"ggplot2 + MASS","geom_point() + kde2d()",23_density_scatter.png,https://ggplot2.tidyverse.org/reference/geom_density_2d.html
24,悬浮柱状图,Floating bar chart,柱状,"ggplot2","geom_rect(ymin, ymax)",24_floating_bar.png,https://stackoverflow.com/questions/45981366/floating-bar-chart-with-trend-line-on-secondary-axis
25,三维密度散点图,3D density scatter,三维散点,"scatterplot3d + MASS","scatterplot3d() + kde2d()",25_3d_density_scatter.png,https://cran.r-project.org/package=scatterplot3d
26,双向堆叠图,Bidirectional stacked chart,堆叠,"ggplot2","geom_col() diverging stack",26_bidirectional_stacked.png,https://ggplot2.tidyverse.org/reference/geom_bar.html
27,水平双向堆叠图,Horizontal bidirectional stacked,堆叠,"ggplot2","geom_col() + coord_flip()",27_horizontal_bidirectional.png,https://ggplot2.tidyverse.org/reference/geom_bar.html
28,三维聚类散点图（含回归面）,3D cluster scatter with regression,三维散点,"scatterplot3d","scatterplot3d() + plane3d()",28_3d_cluster_regression.png,https://cran.r-project.org/package=scatterplot3d
29,三角热图,Triangle heatmap,相关热图,"ggcorrplot / corrplot","ggcorrplot(type='lower')",29_triangle_heatmap.png,https://cran.r-project.org/web/packages/ggcorrplot/vignettes/publication-ready-correlation-plots.html
30,冲击图 / 流图,Streamgraph,时间构成,"ggplot2 / ggstream","geom_ribbon() centered stack",30_streamgraph.png,https://search.r-project.org/CRAN/refmans/ggstream/html/geom_stream.html
31,桑基图,Sankey / alluvial diagram,流向,"ggalluvial / ggsankey / networkD3","geom_alluvium()",31_sankey.png,https://corybrunson.github.io/ggalluvial/
32,小提琴图,Violin plot,分布,"ggplot2","geom_violin()",32_violin.png,https://ggplot2.tidyverse.org/reference/geom_violin.html
33,双曲面图,Dual surface plot,三维曲面,"graphics / plot3D","persp() + trans3d()",33_dual_surface.png,https://rdrr.io/cran/plot3D/man/persp3D.html
34,双三角热图,Dual-triangle heatmap,相关热图,"ggplot2 + ggnewscale","geom_tile() + new_scale_fill()",34_dual_triangle_heatmap.png,https://stackoverflow.com/questions/71342643/single-heatmap-on-two-symetric-matrices-with-different-colours-and-scales-r
35,双特征渲染三维散点图,Dual-feature 3D scatter,三维散点,"scatterplot3d / plotly","scatterplot3d(color, cex.symbols)",35_dual_feature_3d_scatter.png,https://plotly.com/r/3d-scatter-plots/
36,双网格曲面图,Dual grid surface plot,三维曲面,"graphics / plot3D","persp() + trans3d() grid",36_dual_grid_surface.png,https://rdrr.io/cran/plot3D/man/persp3D.html
